player_name,elo,hard_elo,clay_elo,grass_elo,rank,rank_points,age,ht,is_left,matches_played,win_last_5,win_last_25,win_last_50,win_last_100,elo_grad_20,elo_grad_35,elo_grad_50,elo_grad_100
Paul Hanley,1697.9226274316977,1702.2735928693714,1716.4830075977975,1697.9226274316977,2000.0,0.0,47.2,183.0,0,52,0.0,0.0,0.0,0.0,-18.560380166099776,-18.560380166099776,-18.560380166099776,-18.560380166099776
Luca Preda,1400.0,1400.0,1400.0,1400.0,1099.0,8.0,18.8,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicklas Timfjord,1706.3733191952724,1706.3733191952724,1706.3733191952724,1706.3733191952724,421.0,57.0,48.3,180.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Nugent,1531.6348019979537,1566.017592260695,1531.6348019979537,1566.017592260695,1432.0,2.0,43.8,186.27336318231923,0,11,0.0,0.0,0.0,0.0,-34.38279026274131,-34.38279026274131,-34.38279026274131,-34.38279026274131
Hicham Khaddari,1403.1114369387722,1403.1114369387722,1403.1114369387722,1403.1114369387722,513.0,66.0,33.6,185.67156964873536,0,4,0.5,0.5,0.5,0.5,3.111436938772158,3.111436938772158,3.111436938772158,3.111436938772158
Ajeet Rai,1313.4435274688376,1313.4435274688376,1313.4435274688376,1313.4435274688376,498.0,81.0,26.6,188.0,0,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,-86.5564725311624,-86.5564725311624,-86.5564725311624,-86.5564725311624
Joshua Eagle,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,51.8,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vaja Uzakov,1325.72268057645,1361.9373135233664,1389.5738653980181,1325.72268057645,959.0,8.0,36.7,185.67156964873536,0,5,0.0,0.0,0.0,0.0,-74.2773194235499,-74.2773194235499,-74.2773194235499,-74.2773194235499
Prakash Amritraj,1618.1035956379872,1411.8084976882717,1400.0,1668.6407135082165,308.0,142.0,41.7,188.0,0,51,0.4,0.44,0.38,0.37254901960784315,99.5783026958336,186.88347717290594,222.9414203930487,218.10359563798715
Jiri Vesely,1663.0562971599804,1422.1795347901248,1462.4325972820582,1578.3962139272476,293.0,188.0,31.5,198.0,1,314,0.4,0.44,0.38,0.45,14.755462646158776,-47.3080940963614,-126.02540833089938,-134.13121097179737
Ekkarin Pisuth Arnonth,1611.1471956396272,1611.1471956396272,1611.1471956396272,1611.1471956396272,920.0,6.0,49.0,185.67156964873536,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Kirche,1400.0,1400.0,1400.0,1400.0,682.0,21.0,40.7,188.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Roshardt,1397.5132516697158,1397.5132516697158,1397.5132516697158,1397.5132516697158,588.0,37.0,37.3,185.67156964873536,0,1,0.0,0.0,0.0,0.0,-2.486748330284172,-2.486748330284172,-2.486748330284172,-2.486748330284172
Alen Avidzba,1400.0,1425.0,1400.0,1400.0,498.0,59.0,25.6,186.27336318231923,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Beckley,1400.0,1400.0,1400.0,1400.0,641.0,48.0,24.2,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Gonzalez,1499.5864678043313,1543.087126872267,1380.5542768764924,1371.6667287634746,453.0,81.0,36.0,190.0,0,60,0.6,0.32,0.32,0.3,-77.59615935703505,-44.362851013977206,77.0617514464202,98.71059980908854
Guillermo Rivera Aranguiz,1400.0,1400.0,1400.0,1400.0,352.0,122.0,36.0,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Jaya,1303.0880505221996,1322.1801562622857,1400.0,1303.0880505221996,2000.0,0.0,40.1,185.67156964873536,0,5,0.0,0.0,0.0,0.0,-96.91194947780036,-96.91194947780036,-96.91194947780036,-96.91194947780036
Conor Niland,1464.136139893063,1464.2777441067808,1431.8961063723862,1390.4913802067676,312.0,139.0,43.5,185.0,0,26,0.4,0.4,0.38461538461538464,0.38461538461538464,119.33276603380955,64.13613989306305,64.13613989306305,64.13613989306305
Matthew Prentice,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,44.5,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Artunedo Martinavarro,1400.0,1400.0,1400.0,1400.0,340.0,126.0,31.3,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandr Zotov,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,36.9,185.67156964873536,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo Alcaide,1400.0,1400.0,1400.0,1400.0,238.0,197.0,39.0,188.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Margoulis,1376.2911554899545,1376.2911554899545,1376.2911554899545,1376.2911554899545,2000.0,0.0,37.1,185.67156964873536,0,1,0.0,0.0,0.0,0.0,-23.708844510045537,-23.708844510045537,-23.708844510045537,-23.708844510045537
Mehluli Don Ayanda Sibanda,1330.2422814860938,1351.7957963472552,1400.0,1330.2422814860938,1061.0,10.0,26.0,173.0,0,3,0.0,0.0,0.0,0.0,-69.75771851390618,-69.75771851390618,-69.75771851390618,-69.75771851390618
Dragos Nicolae Madaras,1356.4226261708588,1366.2293737305706,1400.0,1356.4226261708588,191.0,308.0,27.8,191.0,1,3,0.0,0.0,0.0,0.0,-43.57737382914115,-43.57737382914115,-43.57737382914115,-43.57737382914115
Bastian Trinker,1397.1740910881708,1397.1740910881708,1397.1740910881708,1397.1740910881708,417.0,96.0,35.1,191.0,0,1,0.0,0.0,0.0,0.0,-2.825908911829174,-2.825908911829174,-2.825908911829174,-2.825908911829174
Juan Borba,1349.3785948379984,1349.3785948379984,1349.3785948379984,1349.3785948379984,2000.0,0.0,29.4,185.67156964873536,0,4,0.25,0.25,0.25,0.25,-50.621405162001565,-50.621405162001565,-50.621405162001565,-50.621405162001565
Marcos Lee Chan Baratau,1400.0,1400.0,1400.0,1400.0,1320.0,5.0,19.8,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rigele Te,1426.5069238939197,1377.200254725858,1422.6187173224941,1426.5069238939197,636.0,48.0,27.9,188.0,0,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,26.506923893919748,26.506923893919748,26.506923893919748,26.506923893919748
Nikoloz Davlianidze,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,25.1,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernan Gumy,1848.9480073158902,1900.7158126585819,1915.156630293143,1950.2473261881291,132.0,293.0,52.9,188.0,0,181,0.4,0.28,0.3225806451612903,0.3225806451612903,-47.46098952946522,-101.29931887223893,-101.29931887223893,-101.29931887223893
Nenad Zimonjic,1640.4403242088551,1608.4841158574668,1753.5595080052508,1750.6376767888662,2000.0,0.0,48.8,190.0,0,73,0.0,0.21739130434782608,0.21739130434782608,0.21739130434782608,-72.9661082447451,-111.73155908309354,-111.73155908309354,-111.73155908309354
Christophe Bosio,1549.8331177136001,1549.8331177136001,1549.8331177136001,1549.8331177136001,1152.0,3.0,48.2,185.67156964873536,0,12,0.0,0.0,0.0,0.0,-23.089466407005148,-23.089466407005148,-23.089466407005148,-23.089466407005148
Francisco Cabello,1759.0533952065512,1759.0533952065512,1759.0533952065512,1759.0533952065512,291.0,102.0,52.6,190.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Lindstedt,1651.973530492149,1667.426122077929,1651.973530492149,1651.973530492149,2000.0,0.0,48.2,190.0,0,11,0.0,0.0,0.0,0.0,-15.452591585780056,-15.452591585780056,-15.452591585780056,-15.452591585780056
Bobby Reynolds,1647.5874219114849,1556.6145584116794,1455.4831280670764,1445.5590231376193,133.0,428.0,43.0,183.0,0,100,0.4,0.24,0.28,0.28,22.808373106957788,-53.893900785443066,-18.19751490810995,251.4129225528652
Nathan Pasha,1400.0,1400.0,1400.0,1400.0,1187.0,6.0,33.0,191.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Molcan,1763.284847424926,1434.4811822730162,1709.1175102099216,1399.8173139525675,135.0,473.0,27.2,178.0,1,94,0.6,0.56,0.48,0.5319148936170213,-2.5676226248795047,28.527847641991457,-59.64692612805402,363.28484742492606
Hiroki Moriya,1427.3297366761099,1453.8938490142914,1427.3297366761099,1400.0,253.0,193.0,34.9,168.0,0,12,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,27.32973667610986,27.32973667610986,27.32973667610986,27.32973667610986
Stefano Cobolli,1703.4584695565854,1703.4584695565854,1703.4584695565854,1703.4584695565854,400.0,61.0,48.3,175.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Blockx,1379.3932759235445,1379.3932759235445,1379.3932759235445,1379.3932759235445,231.0,247.0,20.5,191.0,0,2,0.0,0.0,0.0,0.0,-20.60672407645552,-20.60672407645552,-20.60672407645552,-20.60672407645552
Ervin Eleskovic,1429.357287946657,1387.2783691186198,1468.820078202182,1429.357287946657,355.0,115.0,38.1,185.67156964873536,0,10,0.4,0.2,0.2,0.2,29.357287946656925,29.357287946656925,29.357287946656925,29.357287946656925
Tihomir Grozdanov,1436.0452212135067,1400.0,1436.533121537813,1436.0452212135067,1661.0,2.0,38.2,186.27336318231923,0,5,0.6,0.6,0.6,0.6,36.04522121350669,36.04522121350669,36.04522121350669,36.04522121350669
Yannick Maden,1557.3389256942537,1496.9699274082798,1475.4146072465535,1391.6717806138502,131.0,404.0,35.2,185.0,0,25,0.4,0.36,0.36,0.36,109.89359197857857,157.3389256942537,157.3389256942537,157.3389256942537
Michel Saade,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,26.3,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siu Fai Kelvin Lam,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,31.1,186.27336318231923,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Przysiezny,1550.790340234258,1423.7255722807067,1408.7645515580775,1423.225646234588,1139.0,6.0,41.1,185.0,0,105,0.0,0.2,0.24,0.29,-17.502579837141866,-175.13726554767482,-66.20359499242818,79.95742972051312
Viacheslav Bielinskyi,1391.701216398386,1391.701216398386,1391.701216398386,1391.701216398386,498.0,81.0,21.1,71.0,0,1,0.0,0.0,0.0,0.0,-8.298783601614105,-8.298783601614105,-8.298783601614105,-8.298783601614105
Colin Ebelthite,1400.0,1400.0,1400.0,1400.0,254.0,300.0,40.1,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rogier Wassen,1783.1214063370458,1801.1413513224024,1777.716939451837,1773.5188219390507,542.0,35.0,49.1,190.0,0,57,0.4,0.2857142857142857,0.2857142857142857,0.2857142857142857,9.602584397995088,9.602584397995088,9.602584397995088,9.602584397995088
Omar Jasika,1424.7045718212155,1424.7045718212155,1424.7045718212155,1424.7045718212155,343.0,148.0,27.6,183.0,1,4,0.25,0.25,0.25,0.25,24.704571821215495,24.704571821215495,24.704571821215495,24.704571821215495
Adelo Abadia,1370.3583034972823,1400.0,1381.1802954707966,1370.3583034972823,2000.0,0.0,47.8,186.27336318231923,0,4,0.25,0.25,0.25,0.25,-29.64169650271765,-29.64169650271765,-29.64169650271765,-29.64169650271765
Jae Sung An,1462.1787039012966,1427.2710611015175,1389.2849461854807,1462.1787039012966,329.0,106.0,39.6,185.67156964873536,0,4,0.75,0.75,0.75,0.75,62.17870390129656,62.17870390129656,62.17870390129656,62.17870390129656
Bertrand Madsen,1601.4476953765177,1630.8291696309057,1667.704110980833,1601.4476953765177,2000.0,0.0,52.8,186.27336318231923,0,14,0.5,0.5,0.5,0.5,-56.29179620282639,-56.29179620282639,-56.29179620282639,-56.29179620282639
Hussain Al Ashwak,1412.5124992311808,1412.5124992311808,1412.5124992311808,1412.5124992311808,2000.0,0.0,48.4,185.67156964873536,0,4,0.5,0.5,0.5,0.5,12.512499231180755,12.512499231180755,12.512499231180755,12.512499231180755
Goran Bosalevski,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,46.8,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Larkham,1616.4299072333376,1629.5412011013673,1590.5774607245128,1590.5774607245128,168.0,220.0,50.2,178.0,0,16,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,25.85244650882487,25.85244650882487,25.85244650882487,25.85244650882487
Carlos Berlocq,1545.5617868175423,1481.3499946422837,1637.5789184258995,1358.9066239099018,177.0,299.0,42.1,183.0,0,329,0.2,0.24,0.36,0.43,-116.99152418422113,-193.92241176316656,-144.86620478650866,-289.52547600249477
Yuri Schukin,1702.601869634941,1601.8306110421527,1811.6301612579043,1702.601869634941,127.0,448.0,45.6,188.0,0,85,0.6,0.44,0.4,0.4,-5.660207900226169,-12.426804461666052,-22.77912149154622,-22.77912149154622
Alexandre Muller,1624.9366849381802,1475.1604057765894,1498.5178134153114,1425.214052204463,68.0,790.0,28.7,183.0,0,65,0.6,0.52,0.38,0.4153846153846154,15.587678810996294,49.01847326433585,23.099405840724557,224.93668493818018
